"zip","year","federal_awards","federal_dollars","state_awards","state_dollars"
10123,2009,0,0,2,10000
10128,2005,3,276900,32,551600
10128,2006,6,195000,36,578600
10128,2007,5,137500,38,757280
10128,2008,8,585000,38,807550
10128,2009,6,280000,32,738000
10128,2010,7,225000,46,1024806
10128,2011,6,240000,46,855632
10128,2012,3,80000,50,888480
10128,2013,5,225500,36,715120
10128,2014,5,304641,2,15000
10128,2015,4,175000,30,667800
10162,2006,0,0,4,10000
10162,2007,0,0,4,15250
10162,2008,0,0,6,24000
10162,2009,0,0,4,18600
10165,2005,0,0,2,5000
10168,2005,0,0,4,95200
10168,2006,1,20000,6,94000
10168,2007,1,30000,4,71500
10168,2008,0,0,2,34600
10168,2009,1,30000,0,0
10168,2011,0,0,2,74570
10168,2012,0,0,2,21800
10168,2013,1,25000,2,21800
10168,2014,1,36000,0,0
10168,2015,1,20000,2,50000
10170,2005,1,10000,4,12700
10170,2006,0,0,2,8200
10170,2007,0,0,2,8610
10271,2005,0,0,2,25800
10271,2006,0,0,2,25800
10271,2008,1,10000,0,0
10271,2009,1,10000,0,0
10271,2010,1,25000,2,12834
10271,2011,1,25000,2,13252
10271,2015,1,10000,2,20000
10279,2005,1,40000,0,0
10279,2007,1,22000,0,0
10279,2011,1,65000,0,0
10279,2012,2,125000,0,0
10279,2015,1,30000,0,0
10280,2006,0,0,2,20000
10280,2007,0,0,4,54000
10280,2008,0,0,4,65500
10280,2009,0,0,4,124000
10280,2010,0,0,10,127226
10280,2011,0,0,4,89406
10280,2012,0,0,8,102460
10280,2013,0,0,6,79500
10280,2015,0,0,2,30000
10282,2005,1,40000,0,0
10282,2006,1,40000,0,0
10282,2007,1,40000,0,0
10282,2008,2,1032766,0,0
10282,2009,2,80000,0,0
10282,2010,1,75000,2,46636
10282,2011,1,60000,2,40352
10282,2012,1,1e+05,2,36540
10282,2013,1,60000,2,36540
10282,2014,2,98478,0,0
10282,2015,1,60000,2,56000
10301,2005,2,34999,20,351000
10301,2006,3,46850,16,349000
10301,2007,3,174576,24,421350
10301,2008,2,35000,28,508600
10301,2009,3,162023,18,400920
10301,2010,3,65000,28,462272
10301,2011,4,67500,16,349316
10301,2012,3,170000,22,393860
10301,2013,3,77000,22,456860
10301,2014,5,185000,0,0
10301,2015,4,187885,26,468200
10304,2005,0,0,10,96000
10304,2006,0,0,6,56000
10304,2007,0,0,2,20000
10304,2008,0,0,4,32000
10304,2009,0,0,2,21600
10304,2011,0,0,2,16616
10305,2006,0,0,2,14000
10305,2008,0,0,2,15000
10305,2009,0,0,2,10000
10305,2010,0,0,2,14000
10305,2011,0,0,2,8308
10306,2005,0,0,4,50000
10306,2006,0,0,8,85000
10306,2007,1,23308,4,30000
10306,2008,0,0,2,56000
10306,2009,0,0,2,56000
10306,2010,1,44496,4,66200
10306,2011,0,0,6,66262
10306,2012,0,0,2,37440
10306,2013,0,0,4,54000
10306,2015,0,0,4,64000
10309,2005,0,0,2,6400
10309,2006,0,0,2,6400
10309,2007,0,0,2,6000
10309,2008,0,0,2,9000
10314,2005,0,0,4,6500
10314,2006,1,20000,2,5000
10314,2007,0,0,6,25352
10314,2008,0,0,2,10000
10314,2009,0,0,2,10000
10314,2010,0,0,2,8900
10314,2011,0,0,4,16614
10314,2012,0,0,4,15560
10314,2013,0,0,4,18560
10314,2015,0,0,2,8000
10451,2005,1,15000,6,80000
10451,2006,2,40000,8,180000
10451,2007,2,40000,8,121000
10451,2008,2,60000,16,291500
10451,2009,2,80000,10,182100
10451,2010,3,130000,12,221400
10451,2011,1,40000,10,214414
10451,2012,2,60000,12,194600
10451,2013,1,20000,10,350480
10451,2014,1,20000,0,0
10451,2015,3,75000,16,396500
10452,2005,0,0,4,44800
