"zip","year","provScore","dollScore","govtScore","vibrancy"
10069,2010,-0.0348631890923683,-0.0768967813373477,-0.0672278807243065,-0.0570147747658029
10069,2011,-0.0145224335132568,-0.0792536275883154,-0.0703880630298253,-0.04923803379869
10069,2012,-0.0372964562434742,-0.0813122597061621,-0.0675683289917599,-0.0601307550765123
10069,2013,-0.0356967649556899,-0.0767787002807559,-0.0610975129719087,-0.0567237106535915
10069,2014,-0.0188296313417532,-0.0782171130548254,-0.0754541637685735,-0.0512164513553177
10069,2015,-0.0109597226130418,-0.0694847276477926,-0.0581005618532398,-0.0420100588026995
10075,2005,-0.0629007511645569,-0.0833187114602276,-0.0652826122092326,-0.0723270194020763
10075,2006,-0.0615037116058201,-0.081247340757275,-0.0564546924163677,-0.0698834428050296
10075,2007,-0.0379205196528679,-0.00128971034805943,-0.0558054995193904,-0.0232251534523563
10075,2008,-0.015637926973845,-0.024015335091233,-0.058906909468762,-0.0237346588761613
10075,2009,-0.00745057885279432,-0.0217028214435623,-0.0593216995523315,-0.0190512000885936
10075,2010,-0.0117318977006245,-0.0221870267351782,-0.0645731220376897,-0.0217208281998802
10075,2011,-0.0102738978806998,-0.0208960060317266,-0.0658927458259503,-0.0206157313431869
10075,2012,0.00197838355866634,0.0085508304406599,-0.0658281424992567,-0.00184466795022887
10075,2013,0.00168688911860176,-0.0131302793153493,-0.0582081196062513,-0.0109703375491615
10075,2014,-0.00423796130198681,-0.00863669062962662,-0.0754541637685735,-0.0133390097460834
10075,2015,0.00238751300998889,-0.0278596766693387,-0.0550236742908205,-0.0169648410757894
10128,2005,0.00381301590196702,0.131416683955525,-0.00975263201991849,0.0598781017338794
10128,2006,-0.00454481682387007,0.106367928300454,0.0018162254653293,0.0460020227109956
10128,2007,0.00284954021791651,0.122330056227797,-0.0158054095972935,0.0547502774408416
10128,2008,0.0240893517323897,0.0964994901659496,0.0118613922130241,0.0554511180755551
10128,2009,0.0219244581279018,0.0844341879729299,-0.00863628946409022,0.0469977617989652
