"zip","year","awards","dollars"
10017,1992,30,138900
10017,1993,14,83372
10017,1994,22,111680
10017,1995,22,136000
10017,1996,14,108612
10017,1997,20,126866
10017,1998,12,104292
10017,1999,16,136438
10017,2000,12,166580
10017,2001,14,252594
10017,2002,10,157400
10017,2003,10,171400
10017,2004,20,220952
10017,2005,20,136244
10017,2006,22,198300
10017,2007,40,339850
10017,2008,24,253600
10017,2009,20,179448
10017,2010,34,296242
10017,2011,30,295742
10017,2012,26,218000
10017,2013,26,233392
10017,2014,4,14200
10017,2015,26,260832
10017,2016,26,278772
10018,1987,96,796242
10018,1988,96,1078836
10018,1989,84,929122
10018,1990,64,721454
10018,1991,48,491560
10018,1992,64,374112
10018,1993,22,170444
10018,1994,32,332358
10018,1995,20,222600
10018,1996,24,231748
10018,1997,18,188332
10018,1998,44,778592
10018,1999,72,1419306
10018,2000,78,1811640
10018,2001,82,1967850
10018,2002,110,2426126
10018,2003,136,2580994
10018,2004,182,2860604
10018,2005,192,3043200
10018,2006,200,3410600
10018,2007,230,4065008
10018,2008,228,4532798
10018,2009,162,3081000
10018,2010,190,3588916
10018,2011,166,2807384
10018,2012,176,2663984
10018,2013,172,2550842
10018,2014,12,309600
10018,2015,132,2290730
10018,2016,122,2229492
10019,1986,4,7096
10019,1987,180,4666040
10019,1988,186,4527350
10019,1989,174,4243858
10019,1990,166,4388254
10019,1991,128,3353388
10019,1992,122,1847420
10019,1993,82,1452418
10019,1994,116,1808012
10019,1995,140,2070360
10019,1996,108,1449676
10019,1997,132,1851126
10019,1998,96,1891300
10019,1999,82,1679188
10019,2000,98,2289976
10019,2001,86,2268084
10019,2002,74,1801450
10019,2003,78,1768350
10019,2004,80,1676600
10019,2005,98,2080576
10019,2006,94,2131200
10019,2007,98,2469410
10019,2008,110,2568000
10019,2009,66,2245400
10019,2010,88,1658084
10019,2011,100,1702272
10019,2012,96,1618024
10019,2013,82,1467164
10019,2014,14,325000
10019,2015,80,1577172
10019,2016,82,1614272
10020,1987,14,24040
10020,1988,10,20000
10020,2005,2,10000
10021,1987,78,935300
10021,1988,80,883700
10021,1989,86,1005000
10021,1990,84,1190886
10021,1991,80,1020200
10021,1992,74,659602
10021,1993,46,470190
10021,1994,44,552014
10021,1995,64,749150
10021,1996,58,663304
10021,1997,70,648178
10021,1998,50,550152
10021,1999,44,547804
10021,2000,50,594048
10021,2001,34,546440
10021,2002,50,555400
10021,2003,48,547200
10021,2004,54,609800
10021,2005,46,465700
10021,2006,50,685300
10021,2007,62,1012350
10021,2008,50,762800
10021,2009,14,378600
10021,2010,32,418550
10021,2011,36,461440
10021,2012,28,411328
10021,2013,20,371800
10021,2015,12,166000
10021,2016,14,174000
10022,1987,34,380400
10022,1988,38,392140
10022,1989,34,334600
10022,1990,28,387010
10022,1991,32,532608
10022,1992,34,346276
10022,1993,34,624212
10022,1994,38,488918
10022,1995,44,565622
10022,1996,40,465862
10022,1997,56,633078
10022,1998,36,681184
10022,1999,44,770062
10022,2000,54,1164356
10022,2001,58,1197516
10022,2002,56,1059600
10022,2003,52,949420
10022,2004,48,945610
10022,2005,56,1521060
10022,2006,40,947800
10022,2007,54,1059480
10022,2008,54,1036250
10022,2009,42,891100
10022,2010,60,1043764
10022,2011,34,550100
10022,2012,22,317680
10022,2013,30,426318
10022,2014,2,30000
10022,2015,18,180000
10022,2016,18,181000
10023,1986,4,18812
10023,1987,198,7725518
10023,1988,198,7685916
10023,1989,266,8440468
10023,1990,202,8987372
10023,1991,170,7083880
10023,1992,172,3690186
10023,1993,128,2980222
10023,1994,112,3314772
10023,1995,156,4036916
10023,1996,132,3375406
10023,1997,172,3519370
10023,1998,122,4187736
10023,1999,114,4334094
10023,2000,106,4849428
10023,2001,106,4776972
10023,2002,110,4489420
10023,2003,110,4446550
10023,2004,108,3592360
10023,2005,98,3056800
10023,2006,110,3195300
10023,2007,118,3480580
10023,2008,116,4028220
10023,2009,86,3625600
10023,2010,108,3330078
10023,2011,102,2645324
10023,2012,110,2444200
10023,2013,84,1974618
10023,2014,22,871632
10023,2015,78,1892638
10023,2016,84,1987642
10024,1986,2,14000
10024,1987,118,2166666
10024,1988,124,2290356
10024,1989,130,2355674
10024,1990,122,2404180
10024,1991,74,1818700
10024,1992,84,1048518
10024,1993,82,883146
10024,1994,58,819850
10024,1995,66,1153100
10024,1996,58,451594
10024,1997,90,1045364
10024,1998,78,1253364
10024,1999,72,1448608
10024,2000,60,1305386
10024,2001,68,1577728
10024,2002,70,1436268
10024,2003,74,1452868
10024,2004,56,1058200
10024,2005,60,1104942
10024,2006,64,1098200
10024,2007,60,1225650
10024,2008,74,1582400
10024,2009,56,1413200
10024,2010,70,1388102
10024,2011,68,1232884
10024,2012,62,1047260
10024,2013,48,1001720
10024,2014,32,776040
10024,2015,46,1037534
10024,2016,34,905334
10025,1987,170,1158360
10025,1988,172,1279900
10025,1989,200,1338172
10025,1990,180,1337490
10025,1991,152,1382710
10025,1992,164,687312
10025,1993,110,580306
10025,1994,102,667558
10025,1995,108,738338
10025,1996,118,658504
10025,1997,140,688904
10025,1998,88,756026
10025,1999,86,817142
10025,2000,80,849798
10025,2001,90,1083258
10025,2002,92,871390
10025,2003,88,926300
10025,2004,96,794260
10025,2005,90,853122
10025,2006,84,732600
10025,2007,88,849550
10025,2008,100,1120200
10025,2009,60,772800
10025,2010,80,709332
10025,2011,72,728974
10025,2012,70,507048
10025,2013,66,464612
10025,2014,6,40000
10025,2015,60,669700
10025,2016,56,701668
10026,1990,2,1452
10026,1996,2,11580
10026,1997,4,25518
10026,1998,2,28000
10026,1999,2,29680
10026,2004,2,8000
10026,2005,2,8000
10026,2010,2,10000
10026,2011,2,8308
10026,2012,4,12000
10026,2013,6,14000
10026,2014,4,16644
10027,1987,94,1104836
10027,1988,90,1192550
10027,1989,114,1362092
10027,1990,98,1372012
10027,1991,66,1118970
10027,1992,52,669428
10027,1993,40,543764
10027,1994,50,682466
10027,1995,54,770834
10027,1996,46,600342
10027,1997,52,603122
10027,1998,44,800134
10027,1999,44,800094
10027,2000,40,829540
10027,2001,38,892560
10027,2002,46,909250
10027,2003,44,833800
10027,2004,52,791510
10027,2005,46,797000
10027,2006,44,766500
10027,2007,62,986414
10027,2008,70,1099236
10027,2009,44,866200
10027,2010,42,977272
10027,2011,40,802904
10027,2012,40,658940
10027,2013,36,862780
10027,2014,8,60000
10027,2015,38,703000
10027,2016,36,668200
10028,1986,2,9600
10028,1987,28,1550538
10028,1988,58,1949650
10028,1989,38,1639200
10028,1990,30,1633490
10028,1991,26,1395602
10028,1992,16,573560
10028,1993,8,415466
10028,1994,8,441670
10028,1995,12,647100
10028,1996,18,720470
10028,1997,24,539014
10028,1998,6,445000
10028,1999,4,460000
10028,2000,6,490760
10028,2001,12,585000
10028,2002,10,514600
10028,2003,10,514600
10028,2004,12,440200
10028,2005,18,482812
10028,2006,8,420000
10028,2007,8,441000
10028,2008,12,510000
10028,2009,8,480400
10028,2010,12,440482
10028,2011,8,314106
10028,2012,6,284720
10028,2013,10,310720
10028,2015,8,273064
