Zip Code,Fiscal Year,No. of Awards,Grant Dollars,Grantor
10013,1995,10,"$31,450",Mid Atlantic Arts Foundation
10013,1995,334,"$6,587,314",New York
10013,1995,2,"$4,000",North Carolina
10013,1996,10,"$24,900",Mid Atlantic Arts Foundation
10013,1996,316,"$5,775,086",New York
10013,1996,2,"$4,000",North Carolina
10013,1996,4,"$8,400",South Carolina
10013,1996,4,"$11,426",Washington
10013,1997,2,"$6,000",Mid Atlantic Arts Foundation
10013,1997,4,"$7,000",New Hampshire
10013,1997,354,"$6,769,982",New York
10013,1997,10,"$8,486",Washington
10013,1998,4,"$18,000",Mid-America Arts Alliance
10013,1998,2,"$16,000",New Jersey
10013,1998,246,"$7,795,428",New York
10013,1998,6,"$139,484",Washington
10013,1999,2,"$16,000",New Jersey
10013,1999,250,"$7,526,564",New York
10013,1999,2,"$28,280",Washington
10014,1986,2,"$17,200",Massachusetts
10014,1987,72,"$734,400",New York
10014,1988,2,"$7,000",Mid Atlantic Arts Foundation
10014,1988,96,"$957,796",New York
10014,1989,2,"$107,640",Massachusetts
10014,1989,2,"$1,020",New England Foundation for the Arts
10014,1989,94,"$1,059,590",New York
10014,1990,110,"$1,365,336",New York
10014,1990,4,$98,Utah
10014,1991,82,"$1,126,092",New York
10014,1992,100,"$657,272",New York
10014,1993,4,"$18,858",Massachusetts
10014,1993,2,"$5,196",Nevada
10014,1993,66,"$561,298",New York
10014,1994,2,"$2,000",Arts Midwest
10014,1994,4,$800,Mid Atlantic Arts Foundation
10014,1994,58,"$562,868",New York
10014,1994,2,"$6,000",North Carolina
10014,1995,4,"$25,550",Massachusetts
10014,1995,2,$400,Mid Atlantic Arts Foundation
10014,1995,62,"$627,220",New York
10014,1996,2,"$2,000",New England Foundation for the Arts
10014,1996,62,"$472,902",New York
10014,1996,2,"$3,100",Washington
10014,1997,58,"$536,126",New York
10014,1997,2,$294,Washington
10014,1998,2,$100,Connecticut
10014,1998,52,"$596,008",New York
10014,1999,72,"$1,417,192",New York
10014,1999,2,"$3,610",Washington
10016,1986,2,"$2,232",Illinois
10016,1987,40,"$536,800",New York
10016,1988,30,"$513,040",New York
10016,1989,2,"$12,000",Massachusetts
10016,1989,50,"$585,700",New York
10016,1990,28,"$548,360",New York
10016,1991,20,"$418,400",New York
10016,1991,6,"$21,600",Washington
10016,1992,2,"$10,000",Massachusetts
10016,1992,24,"$289,208",New York
10016,1993,14,"$220,578",New York
10016,1994,12,"$243,092",New York
10016,1995,4,"$11,350",Mid Atlantic Arts Foundation
10016,1995,24,"$331,156",New York
10016,1996,24,"$306,686",New York
10016,1997,34,"$336,622",New York
10016,1998,22,"$345,904",New York
10016,1999,4,"$13,024",Mid Atlantic Arts Foundation
10016,1999,36,"$441,994",New York
10017,1986,2,"$2,000",Massachusetts
10017,1987,28,"$258,000",New York
10017,1988,26,"$254,400",New York
10017,1988,2,$46,South Carolina
10017,1989,30,"$248,200",New York
10017,1989,2,$46,South Carolina
10017,1990,38,"$412,100",New York
10017,1991,32,"$348,760",New York
10017,1992,30,"$138,900",New York
10017,1993,14,"$83,372",New York
10017,1994,2,$200,New England Foundation for the Arts
10017,1994,20,"$111,480",New York
10017,1995,22,"$136,000",New York
10017,1996,14,"$108,612",New York
10017,1997,2,"$13,000",California
