"zip","year","independent_artists","art_firms"
10282,2006,2,6
10282,2007,4,0
10282,2008,4,0
10282,2009,4,0
10282,2010,4,2
10282,2011,4,2
10282,2012,3,2
10282,2013,1,2
10282,2014,2,2
10282,2015,1,0
10301,2005,0,119
10301,2006,0,122
10301,2007,1,178
10301,2008,2,196
10301,2009,2,200
10301,2010,2,217
10301,2011,2,213
10301,2012,3,157
10301,2013,3,100
10301,2014,3,103
10301,2015,3,107
10302,2005,0,2
10302,2006,0,2
10302,2007,1,2
10302,2008,1,2
10302,2009,1,2
10302,2010,1,2
10302,2011,1,2
10302,2012,1,0
10302,2013,1,0
10302,2014,2,0
10302,2015,2,0
10303,2008,1,0
10303,2009,1,0
10303,2010,1,0
10303,2011,1,0
10303,2012,1,0
10303,2013,1,0
10303,2014,2,0
10303,2015,1,2
10304,2006,0,2
10304,2007,0,4
10304,2008,0,2
10304,2009,0,2
10304,2010,0,2
10304,2011,0,4
10304,2012,0,9
10304,2013,0,6
10304,2014,0,11
10304,2015,0,4
10305,2005,1,21
10305,2006,1,28
10305,2007,1,36
10305,2008,1,34
10305,2009,2,29
10305,2010,3,24
10305,2011,3,25
10305,2012,3,25
10305,2013,3,25
10305,2014,3,33
10305,2015,3,27
10306,2005,0,50
10306,2006,0,90
10306,2007,1,87
10306,2008,2,20
10306,2009,2,22
10306,2010,2,29
10306,2011,3,14
10306,2012,3,8
10306,2013,2,34
10306,2014,2,34
10306,2015,2,36
10307,2005,3,4
10307,2006,3,4
10307,2007,2,4
10307,2008,2,8
10307,2009,2,4
10307,2010,1,4
10307,2011,1,4
10307,2012,1,2
10307,2013,1,2
10307,2014,2,2
10307,2015,2,2
10308,2010,0,2
10308,2012,0,2
10308,2013,1,2
10308,2014,1,0
10308,2015,1,4
10309,2005,2,13
10309,2006,2,15
10309,2007,2,15
10309,2008,3,19
10309,2009,3,19
10309,2010,3,24
10309,2011,3,37
10309,2012,5,27
10309,2013,3,37
10309,2014,4,34
10309,2015,4,34
10310,2005,0,19
10310,2006,0,11
10310,2007,0,4
10310,2008,0,11
10310,2009,0,4
10310,2010,0,4
10310,2011,0,4
10310,2012,0,36
10310,2013,0,4
10310,2014,0,2
10310,2015,1,2
10312,2005,0,32
10312,2006,1,30
10312,2007,2,30
10312,2008,2,24
10312,2009,2,38
10312,2010,2,37
10312,2011,2,58
10312,2012,2,33
10312,2013,2,17
10312,2014,2,17
10312,2015,3,20
10314,2005,2,21
10314,2006,2,34
10314,2007,1,30
10314,2008,1,38
10314,2009,1,21
10314,2010,2,23
10314,2011,2,23
10314,2012,3,32
10314,2013,3,70
10314,2014,2,50
10314,2015,2,56
10451,2005,0,16
10451,2006,0,87
10451,2007,1,194
10451,2008,0,194
10451,2009,0,22
10451,2010,1,24
10451,2011,0,24
10451,2012,1,11
10451,2013,0,26
10451,2014,0,46
10451,2015,1,24
10452,2005,0,2
10452,2006,0,2
10452,2012,1,0
10453,2005,0,7
10453,2006,0,15
10453,2007,0,17
10453,2008,0,15
10453,2009,0,15
10453,2010,0,15
10453,2011,0,15
10453,2012,0,15
10453,2013,0,17
10453,2014,0,15
10453,2015,0,15
10454,2005,0,4
10454,2006,0,2
10454,2008,0,2
10454,2009,0,9
10454,2010,1,9
10454,2011,1,2
10454,2012,0,4
10454,2013,0,4
10454,2014,0,6
10454,2015,0,6
10455,2014,1,0
10455,2015,1,0
10456,2005,2,30
10456,2006,1,30
10456,2007,1,30
10456,2008,1,32
10456,2009,1,172
10456,2010,1,32
10456,2011,0,32
10456,2012,1,30
10456,2013,0,30
10456,2014,0,30
10456,2015,0,30
10457,2009,0,2
10457,2010,1,0
10458,2005,0,17
10458,2006,2,17
10458,2007,0,17
10458,2008,0,22
10458,2009,0,24
10458,2010,0,19
10458,2011,0,17
10458,2012,0,15
10458,2013,0,15
10458,2014,0,15
10458,2015,0,37
10459,2005,0,4
10459,2006,0,2
10459,2007,0,2
10459,2008,0,2
10459,2009,0,2
10459,2010,0,4
10459,2011,0,9
10459,2012,0,11
10459,2013,0,6
10459,2014,0,11
10459,2015,0,6
10460,2005,0,7
10460,2006,0,17
10460,2007,0,15
10460,2008,0,15
10460,2009,0,7
10460,2010,0,7
10460,2011,0,9
10460,2012,0,9
10460,2013,0,17
10460,2014,0,9
10460,2015,0,9
10461,2005,1,32
10461,2006,2,30
10461,2007,3,30
10461,2008,3,32
10461,2009,3,32
10461,2010,3,32
10461,2011,2,32
10461,2012,2,32
10461,2013,2,36
10461,2014,2,34
10461,2015,2,17
10462,2005,1,2
10462,2006,2,2
10462,2007,1,2
10462,2008,1,0
10462,2009,1,0
10462,2010,1,0
10462,2011,1,2
10462,2012,2,11
10462,2013,1,6
10462,2014,1,6
10462,2015,2,4
10463,2005,4,10
10463,2006,2,13
10463,2007,2,24
10463,2008,2,30
10463,2009,2,61
10463,2010,2,56
10463,2011,2,53
10463,2012,3,44
10463,2013,2,30
10463,2014,3,27
10463,2015,3,35
10464,2005,0,13
10464,2006,0,18
10464,2007,0,13
10464,2008,1,13
10464,2009,1,6
10464,2010,1,11
10464,2011,1,9
10464,2012,1,7
10464,2013,1,7
10464,2014,1,7
10464,2015,1,9
10465,2005,1,2
10465,2006,0,2
10465,2007,0,2
10465,2008,0,4
10465,2009,0,4
10465,2010,1,4
10465,2011,1,4
10465,2012,0,4
10465,2013,0,4
10465,2014,0,4
10465,2015,0,8
10466,2008,0,2
10466,2010,0,2
10466,2012,0,4
10466,2013,0,2
10466,2014,0,4
10466,2015,1,4
10467,2005,0,7
10467,2006,0,7
10467,2007,0,15
10467,2010,0,2
10467,2011,0,2
10467,2012,0,7
10467,2013,1,7
10467,2014,0,9
10467,2015,0,17
10468,2005,0,8
10468,2006,0,13
10468,2007,1,8
10468,2008,0,10
10468,2009,0,10
10468,2010,0,12
10468,2011,1,82
10468,2012,0,78
10468,2013,0,74
10468,2014,0,74
10468,2015,0,36
10469,2005,0,6
10469,2006,1,4
10469,2007,1,7
10469,2008,0,2
10469,2009,0,7
10469,2010,0,2
10469,2011,0,2
10469,2012,0,15
10469,2013,0,15
10469,2014,0,17
10469,2015,0,22
10470,2005,0,2
10470,2006,0,2
10470,2008,0,2
10470,2009,0,2
10470,2010,0,2
10470,2011,0,2
10470,2012,0,2
10470,2013,0,2
10470,2014,0,2
10470,2015,0,4
10471,2005,3,11
10471,2006,2,34
10471,2007,2,6
10471,2008,1,4
10471,2009,2,4
10471,2010,2,2
10471,2011,2,2
10471,2012,3,2
10471,2013,2,0
10471,2014,1,0
10471,2015,1,0
10472,2009,1,0
10472,2012,1,0
10472,2015,1,0
10473,2005,1,0
10473,2008,1,0
10473,2009,0,2
10473,2010,0,9
10473,2011,1,7
10473,2012,1,7
10473,2013,1,0
10473,2014,1,70
10473,2015,1,0
10474,2005,0,30
10474,2006,0,30
10474,2007,0,32
10474,2008,1,34
10474,2009,0,39
10474,2010,0,32
10474,2011,0,34
10474,2012,0,34
10474,2013,0,32
10474,2014,0,32
10474,2015,0,32
10475,2005,0,2
10475,2006,0,2
10475,2007,0,2
10475,2008,0,2
10475,2009,0,2
10475,2010,0,2
10475,2011,0,2
11004,2005,1,34
11004,2006,1,34
11004,2007,0,34
11004,2008,0,72
11004,2009,0,30
11004,2010,0,34
11004,2011,0,32
11004,2012,1,30
11004,2013,0,30
11004,2014,0,30
11004,2015,0,30
11101,2005,8,98
11101,2006,9,97
11101,2007,12,102
11101,2008,14,149
11101,2009,16,155
11101,2010,16,135
11101,2011,16,191
11101,2012,22,184
11101,2013,26,303
11101,2014,28,291
11101,2015,36,270
11102,2005,7,2
11102,2006,8,2
11102,2007,10,11
11102,2008,10,6
11102,2009,11,2
11102,2010,9,4
11102,2011,9,11
11102,2012,10,8
11102,2013,6,14
11102,2014,7,26
11102,2015,9,27
11103,2005,0,15
11103,2006,0,22
11103,2007,0,24
11103,2008,2,28
11103,2009,1,22
11103,2010,1,36
11103,2011,1,28
11103,2012,1,42
11103,2013,1,59
11103,2014,1,44
11103,2015,3,69
11104,2005,1,10
11104,2006,3,12
11104,2007,3,12
11104,2008,4,15
11104,2009,4,12
11104,2010,4,18
11104,2011,5,14
11104,2012,3,12
11104,2013,3,24
11104,2014,6,15
11104,2015,6,25
11105,2005,0,17
11105,2006,0,21
11105,2007,0,26
11105,2008,1,33
11105,2009,2,28
11105,2010,2,28
11105,2011,2,30
11105,2012,1,32
11105,2013,3,40
11105,2014,4,108
11105,2015,4,113
11106,2005,2,116
11106,2006,1,118
11106,2007,0,120
11106,2008,0,156
11106,2009,1,148
11106,2010,0,184
11106,2011,1,190
11106,2012,2,195
11106,2013,5,204
11106,2014,4,201
11106,2015,6,222
11109,2006,1,0
11109,2007,1,0
11109,2008,1,2
11109,2009,1,0
11109,2010,1,0
11109,2011,1,0
11109,2012,2,2
11109,2013,4,2
11109,2014,4,2
11109,2015,2,2
11201,2005,22,131
11201,2006,23,143
11201,2007,19,167
11201,2008,22,229
11201,2009,26,268
11201,2010,28,358
11201,2011,27,367
11201,2012,37,436
11201,2013,35,639
11201,2014,47,630
11201,2015,53,1143
11203,2005,0,6
11203,2006,1,6
11203,2007,0,18
11203,2008,1,6
11203,2009,1,6
11203,2010,0,11
11203,2011,1,34
11203,2012,1,74
11203,2013,0,74
11203,2014,0,34
11203,2015,1,81
11204,2005,3,6
11204,2006,4,6
11204,2007,3,4
11204,2008,4,6
11204,2009,3,10
11204,2010,2,14
11204,2011,2,18
11204,2012,1,16
11204,2013,2,19
11204,2014,2,21
11204,2015,1,26
11205,2005,6,21
11205,2006,8,25
11205,2007,10,2
11205,2008,10,9
11205,2009,11,21
11205,2010,13,44
11205,2011,11,26
11205,2012,16,52
11205,2013,20,92
11205,2014,23,66
11205,2015,22,73
11206,2005,1,15
11206,2006,1,17
11206,2007,4,30
11206,2008,8,34
11206,2009,6,21
11206,2010,4,25
11206,2011,5,49
11206,2012,7,16
11206,2013,4,29
11206,2014,7,65
11206,2015,6,80
11207,2005,0,2
11207,2006,0,4
11207,2007,0,4
11207,2011,0,2
